week_number,day_number,file_url,file_size,audio_duration,reading_section,reading_pages,date,test_date,episode_description
1,1,http://www.biblica.com/Global/CBE-files/NT-audio/09_Day-01_Luke-Acts.mp3,14140095,00:27:02,Luke-Acts,1-11,9/25/2016,4/1/1970,
1,2,http://www.biblica.com/Global/CBE-files/NT-audio/10_Day-02_Luke-Acts.mp3,19587375,00:37:41,Luke-Acts,11-24,9/26/2016,4/2/1970,
1,3,http://www.biblica.com/Global/CBE-files/NT-audio/11_Day-03_Luke-Acts.mp3,13228920,00:24:59,Luke-Acts,25-33,9/27/2016,4/3/1970,
1,4,http://www.biblica.com/Global/CBE-files/NT-audio/12_Day-04_Luke-Acts.mp3,14959663,00:28:20,Luke-Acts,33-42,9/28/2016,4/4/1970,
1,5,http://www.biblica.com/Global/CBE-files/NT-audio/13-Day-05_Luke-Acts.mp3,17180695,00:32:24,Luke-Acts,42-54,9/29/2016,4/5/1970,
2,6,http://www.biblica.com/Global/CBE-files/NT-audio/14_Day-06_Luke-Acts.mp3,15191121,00:27:13,Luke-Acts,55-64,10/2/2016,4/6/1970,
2,7,http://www.biblica.com/Global/CBE-files/NT-audio/15_Day-07_Luke-Acts.mp3,19063407,00:34:33,Luke-Acts,64-75,10/3/2016,4/7/1970,
2,8,http://www.biblica.com/Global/CBE-files/NT-audio/16_Day-08_Luke-Acts.mp3,19766142,00:35:18,Luke-Acts,75-86,10/4/2016,4/8/1970,
2,9,http://www.biblica.com/Global/CBE-files/NT-audio/17_Day-09_Luke-Acts.mp3,26169324,00:48:55,Luke-Acts,87-102,10/5/2016,4/9/1970,
2,10,http://www.biblica.com/Global/CBE-files/NT-audio/18_Day-10_1-2Thessalonians.mp3,12725976,00:22:24,1-2 Thessalonians,103-115,10/6/2016,4/10/1970,
3,11,http://www.biblica.com/Global/CBE-files/NT-audio/19_Day-11_1Corinthians.mp3,16212533,00:28:03,1 Corinthians,117-126,10/9/2016,4/11/1970,
3,12,http://www.biblica.com/Global/CBE-files/NT-audio/20_Day-12_1Corinthians.mp3,20277585,00:37:25,1 Corinthians,127-138,10/10/2016,4/12/1970,
3,13,http://www.biblica.com/Global/CBE-files/NT-audio/21_Day-13_2Corinthians.mp3,23191037,00:42:45,2 Corinthians,139-153,10/11/2016,4/13/1970,
3,14,http://www.biblica.com/Global/CBE-files/NT-audio/22_Day-14-Galatians.mp3,15219768,00:27:22,Galatians,155-163,10/12/2016,4/14/1970,
3,15,http://www.biblica.com/Global/CBE-files/NT-audio/23_Day-15_Romans.mp3,22693371,00:41:08,Romans,165-177,10/13/2016,4/15/1970,
4,16,http://www.biblica.com/Global/CBE-files/NT-audio/24_Day-16_Romans.mp3,17093025,00:30:45,Romans,177-188,10/16/2016,4/16/1970,
4,17,http://www.biblica.com/Global/CBE-files/NT-audio/25_Day-17_Colossians.mp3,12576275,00:17:47,Colossians,189-195,10/17/2016,4/17/1970,
4,18,http://www.biblica.com/Global/CBE-files/NT-audio/26_Day-18_Ephesians-Philemon.mp3,16565991,00:29:24,"Ephesians, Philemon",197-210,10/18/2016,4/18/1970,
4,19,http://www.biblica.com/Global/CBE-files/NT-audio/27_Day-19_Philippians-1Timothy.mp3,20328835,00:35:59,"Philippians, 1 Timothy",211-226,10/19/2016,4/19/1970,
4,20,http://www.biblica.com/Global/CBE-files/NT-audio/28_Day-20_Titus-2Timothy.mp3,12376866,00:21:36,"Titus, 2 Timothy",227-238,10/20/2016,4/20/1970,
5,21,http://www.biblica.com/Global/CBE-files/NT-audio/29_Day-21_Matthew.mp3,17399990,00:32:35,Matthew,239-251,10/23/2016,4/21/1970,
5,22,http://www.biblica.com/Global/CBE-files/NT-audio/30_Day-22_Matthew.mp3,15985721,00:31:21,Matthew,251-262,10/24/2016,4/22/1970,
5,23,http://www.biblica.com/Global/CBE-files/NT-audio/31_Day-23_Matthew.mp3,11175363,00:21:04,Matthew,262-270,10/25/2016,4/23/1970,
5,24,http://www.biblica.com/Global/CBE-files/NT-audio/32_Day-24_Matthew.mp3,18879482,00:37:12,Matthew,270-283,10/26/2016,4/24/1970,
5,25,http://www.biblica.com/Global/CBE-files/NT-audio/33_Day-25_Matthew.mp3,10649854,00:21:15,Matthew,283-290,10/27/2016,4/25/1970,
6,26,http://www.biblica.com/Global/CBE-files/NT-audio/34_Day-26_Hebrews.mp3,8110841,00:13:06,Hebrews,291-297,10/30/2016,4/26/1970,
6,27,http://www.biblica.com/Global/CBE-files/NT-audio/35_Day-27_Hebrews.mp3,19911008,00:36:12,Hebrews,297-309,10/31/2016,4/27/1970,
6,28,http://www.biblica.com/Global/CBE-files/NT-audio/36_Day-28_James.mp3,10314439,00:17:26,James,311-318,11/1/2016,4/28/1970,
6,29,http://www.biblica.com/Global/CBE-files/NT-audio/37_Day-29-Mark.mp3,23261781,00:43:42,Mark,319-334,11/2/2016,4/29/1970,
6,30,http://www.biblica.com/Global/CBE-files/NT-audio/38_Day-30_Mark.mp3,24248972,00:44:55,Mark,334-350,11/3/2016,4/30/1970,
7,31,http://www.biblica.com/Global/CBE-files/NT-audio/39_Day-31_1Peter.mp3,10853123,00:18:53,1 Peter,351-358,11/6/2016,5/1/1970,
7,32,http://www.biblica.com/Global/CBE-files/NT-audio/40_Day-32_2Peter-Jude.mp3,10853769,00:18:52,"2 Peter, Jude",359-368,11/7/2016,5/2/1970,
7,33,http://www.biblica.com/Global/CBE-files/NT-audio/41_Day-33_John.mp3,21718382,00:40:43,John,369-382,11/8/2016,5/3/1970,
7,34,http://www.biblica.com/Global/CBE-files/NT-audio/42_Day-34_John.mp3,18877788,00:35:58,John,382-395,11/9/2016,5/4/1970,
7,35,http://www.biblica.com/Global/CBE-files/NT-audio/43_Day-35_John.mp3,20415979,00:40:07,John,395-408,11/10/2016,5/5/1970,
8,36,http://www.biblica.com/Global/CBE-files/NT-audio/44_Day-36-1-3John.mp3,12479955,00:22:34,1-3 John,409-423,11/13/2016,5/6/1970,
8,37,http://www.biblica.com/Global/CBE-files/NT-audio/45_Day-37_Revelation.mp3,10518707,00:18:34,Revelation,425-431,11/14/2016,5/7/1970,
8,38,http://www.biblica.com/Global/CBE-files/NT-audio/46_Day-38_Revelation.mp3,19137741,00:36:32,Revelation,431-444,11/15/2016,5/8/1970,
8,39,http://www.biblica.com/Global/CBE-files/NT-audio/47_Day-39_Revelation.mp3,12532985,00:23:01,Revelation,444-453,11/16/2016,5/9/1970,
